id,book name,author,rating,reviews count,form,price,reading age,print length,publishing date,genre,log_reviews,year,month
50,Things We Hide from the Light,Lucy Score,4.4,119095,Paperback,9.95,,592.0,2023-02-21,Fiction & Action & Adventure,11.687685169556893,2023.0,2.0
51,Reminders of Him: A Novel,Colleen Hoover,4.7,347742,Paperback,9.03,,335.0,2022-01-18,Fiction & Action & Adventure,12.759218980179783,2022.0,1.0
52,A Court of Mist and Fury,Sarah J. Maas,4.8,287325,Paperback,12.16,,656.0,2020-06-02,Fiction & Action & Adventure,12.568372738610265,2020.0,6.0
53,The Legend of Zelda: Tears of the Kingdom  The Complete Official Guide: Collector's Edition,Piggyback,4.8,7876,Hardcover,20.19,,496.0,2023-07-07,Computers & Technology,8.971702399703325,2023.0,7.0
54,Elon Musk,Walter Isaacson,4.7,22689,Hardcover,19.93,,688.0,2023-09-12,Biographies & Memoirs,10.029679577773887,2023.0,9.0
55,I Will Teach You to Be Rich: No Guilt. No Excuses. Just a 6-Week Program That Works (Second Edition),Ramit Sethi,4.6,23034,Paperback,10.17,,352.0,2019-05-14,Business & Money,10.044770077370018,2019.0,5.0
56,Haunting Adeline,H. D. Carlton,4.4,163368,Paperback,17.18,,627.0,2021-08-13,Mystery & Thriller & Suspense,12.00376672492696,2021.0,8.0
57,How to Catch a Dinosaur,Adam Wallace,4.8,18031,Hardcover,5.6,3 years and up,40.0,2019-09-03,Reading & Writing,9.799903236279558,2019.0,9.0
58,Ugly Love: A Novel,Colleen Hoover,4.6,165631,Paperback,8.91,,336.0,2014-08-05,Fiction & Action & Adventure,12.017523738980463,2014.0,8.0
59,If Animals Kissed Good Night,Ann Whitford Paul,4.8,75734,Board book,4.23,baby and up,34.0,2014-06-03,Reading & Writing,11.234995683961126,2014.0,6.0
60,Happy Place,Emily Henry,4.2,107168,Hardcover,12.29,,400.0,2023-04-25,Fiction & Action & Adventure,11.582162306694022,2023.0,4.0
61,Twisted Games,Ana Huang,4.4,108327,Paperback,9.74,,448.0,2022-09-27,Romance,11.59291894066266,2022.0,9.0
62,Chicka Chicka Boom Boom,"Bill Martin Jr.,  John Archambault , Lois Ehlert",4.9,41314,Board book,4.17,1 - 2 years,36.0,2012-01-01,Reading & Writing,10.628980909135285,2012.0,1.0
63,Hello Beautiful (Oprah's Book Club): A Novel,Ann Napolitano,4.4,109707,Hardcover,13.97,,400.0,2023-03-14,Fiction & Action & Adventure,11.605577569766599,2023.0,3.0
64,The Democrat Party Hates America,Mark R. Levin,4.8,5751,Hardcover,13.47,,400.0,2023-09-19,Politics & Social Sciences,8.657302899400882,2023.0,9.0
65,A Little Life,Hanya Yanagihara,4.5,86622,Paperback,9.25,,832.0,2016-01-26,Fiction & Action & Adventure,11.369320648202583,2016.0,1.0
66,Meditations,Marcus Aurelius,4.8,18227,Paperback,8.18,,272.0,2003-05-06,Politics & Social Sciences,9.810714152383774,2003.0,5.0
67,Holly,Stephen King,4.5,43046,Hardcover,13.98,,464.0,2023-09-05,Mystery & Thriller & Suspense,10.670047821016515,2023.0,9.0
68,The Heaven & Earth Grocery Store,James McBride,4.4,73210,Hardcover,15.05,,400.0,2023-08-08,Fiction & Action & Adventure,11.201100961883556,2023.0,8.0
69,Scholastic Flash Cards: Sight Words,Scholastic,4.8,32845,Cards,3.07,4 years and up,,2018-03-01,Schools & Teaching,10.399585250897506,2018.0,3.0
70,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),Napoleon Hill,4.8,29360,Paperback,8.24,,320.0,2007-12-15,Business & Money,10.28742254209393,2007.0,12.0
71,Daisy Jones & The Six: Reese's Book Club: A Novel,Taylor Jenkins Reid,4.4,95715,Paperback,9.33,,400.0,2020-02-04,Fiction & Action & Adventure,11.469140752599207,2020.0,2.0
72,A Court of Thorns and Roses Paperback Box Set (5 books),Sarah J. Maas,4.8,52380,Paperback,47.9,,2896.0,2022-11-01,Fiction & Action & Adventure,10.866299209135672,2022.0,11.0
73,How to Win Friends & Influence People,Dale Carnegie ,4.7,109703,Paperback,15.44,,320.0,1998-10-01,Self-Improvement,11.60554110867969,1998.0,10.0
